trail,learning_rate,student_architecture,teacher_architecture,distill,epoch,train_acc,train_loss,test_acc,test_loss,test_acc_top5
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,1,1.040,0.383938,1.070,4.624083,5.210000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,2,1.146,0.344264,1.130,4.612591,5.270000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,3,1.408,0.340650,1.830,4.577570,7.240000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,4,1.888,0.337775,2.360,4.496243,10.380000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,5,2.736,0.335471,3.540,4.446520,12.580000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,6,3.426,0.333264,4.330,4.370820,16.390000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,7,4.364,0.331886,5.410,4.287382,19.030000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,8,5.190,0.330668,5.990,4.219913,21.220000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,9,5.616,0.328379,6.530,4.160257,23.210000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,10,6.264,0.326657,7.900,4.110542,25.660000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,11,7.034,0.325110,8.350,4.116379,25.850000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,12,8.004,0.323920,9.320,4.001550,28.730000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,13,8.602,0.322351,9.180,3.932620,30.300000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,14,9.408,0.320193,10.260,3.894149,32.900000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,15,10.118,0.318357,11.310,3.860798,33.800000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,16,11.066,0.316585,12.100,3.791815,37.140000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,17,11.956,0.314052,13.430,3.729621,38.920000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,18,12.938,0.313234,14.520,3.685557,41.160000
0,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,19,13.792,0.310352,16.240,3.617092,43.200000
