trail,learning_rate,student_architecture,teacher_architecture,distill,epoch,train_acc,train_loss,test_acc,test_loss,test_acc_top5,student_model,teacher_model,dataset,distill_method,weight_cls,use_labels,weight_div,weight_other,lr_decay_epochs,trial_number
1,0.001,MobileNetV2_1_0,resnet32x4,simkd_mp,240,1.062,1.100832,63.17,1.817203,86.23,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,True,1.0,0.0,150_180_210,1
2,0.001,MobileNetV2_1_0,resnet32x4,simkd_mp,240,0.836,1.095526,62.87,1.829542,86.36,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,True,1.0,0.0,150_180_210,2
1,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,1.0,1.488535,72.19,1.297977,92.06,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,True,1.0,0.0,150_180_210,1
2,0.01,MobileNetV2_1_0,resnet32x4,simkd_mp,240,1.0,1.470688,72.27,1.315646,92.32,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,True,1.0,0.0,150_180_210,2
1,0.05,MobileNetV2_1_0,resnet32x4,simkd_mp,240,1.0,4.121412,64.08,1.436924,89.52,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,True,1.0,0.0,150_180_210,1
2,0.05,MobileNetV2_1_0,resnet32x4,simkd_mp,240,1.0,4.30585,62.53,1.541101,88.51,MobileNetV2_1_0,resnet32x4,cifar100,simkd_mp,1.0,True,1.0,0.0,150_180_210,2
1,0.001,MobileNetV2_1_0,resnet32x4,simkd,240,0.866,1.097916,61.86,1.880032,85.48,MobileNetV2_1_0,resnet32x4,cifar100,simkd,1.0,True,1.0,0.0,150_180_210,1
2,0.001,MobileNetV2_1_0,resnet32x4,simkd,240,0.988,1.090321,63.2,1.820717,86.07,MobileNetV2_1_0,resnet32x4,cifar100,simkd,1.0,True,1.0,0.0,150_180_210,2
1,0.01,MobileNetV2_1_0,resnet32x4,simkd,240,1.0,1.482994,71.75,1.308918,92.01,MobileNetV2_1_0,resnet32x4,cifar100,simkd,1.0,True,1.0,0.0,150_180_210,1
2,0.01,MobileNetV2_1_0,resnet32x4,simkd,240,1.0,1.436192,71.94,1.30146,92.12,MobileNetV2_1_0,resnet32x4,cifar100,simkd,1.0,True,1.0,0.0,150_180_210,2
1,0.05,MobileNetV2_1_0,resnet32x4,simkd,240,1.0,4.096537,64.63,1.430954,89.5,MobileNetV2_1_0,resnet32x4,cifar100,simkd,1.0,True,1.0,0.0,150_180_210,1
2,0.05,MobileNetV2_1_0,resnet32x4,simkd,240,1.0,4.258235,63.31,1.452604,89.21,MobileNetV2_1_0,resnet32x4,cifar100,simkd,1.0,True,1.0,0.0,150_180_210,2
1,0.001,MobileNetV2_1_0,resnet32x4,unb_proj,240,0.904,1.080144,63.43,1.818264,86.77,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,True,1.0,0.0,150_180_210,1
2,0.001,MobileNetV2_1_0,resnet32x4,unb_proj,240,0.992,1.08919,62.88,1.83656,86.3,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,True,1.0,0.0,150_180_210,2
1,0.01,MobileNetV2_1_0,resnet32x4,unb_proj,240,1.0,1.502602,71.66,1.319372,92.0,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,True,1.0,0.0,150_180_210,1
2,0.01,MobileNetV2_1_0,resnet32x4,unb_proj,240,1.0,1.482385,72.26,1.326975,91.83,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,True,1.0,0.0,150_180_210,2
1,0.05,MobileNetV2_1_0,resnet32x4,unb_proj,240,1.0,4.222638,63.28,1.478145,89.11,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,True,1.0,0.0,150_180_210,1
2,0.05,MobileNetV2_1_0,resnet32x4,unb_proj,240,1.0,4.122902,64.0,1.436453,89.59,MobileNetV2_1_0,resnet32x4,cifar100,unb_proj,1.0,True,1.0,0.0,150_180_210,2
